"name","main_category","ratings","discount_price","actual_price"
TIMEX Ironman Analog Purple Dial Women's Watch-TW5M17300,accessories,5.0,4492.0,4495.0
Hidesign,accessories,5.0,4851.0,4895.0
Hidesign Women Satchel Handbag (Parrot),accessories,5.0,4994.0,4995.0
Hidesign Men's Leather Moccasins,men's shoes,5.0,4994.0,4995.0
Hidesign Women Sling Bag (Black),accessories,5.0,5194.0,5195.0
Nike Men Flex Control Tr3 Dark Blue Training Shoes-11 UK (46 EU) (12 US) (AJ5911-400),men's shoes,5.0,5490.0,5495.0
Nike Mens Run Swift 2 Sneaker,men's shoes,5.0,5490.0,5495.0
Nike Mens Court Vision Lo Running,men's shoes,5.0,5690.0,5695.0
Skechers Men's Ultra Flex 2.0-Kwasi Sneakers,men's shoes,5.0,5990.0,5999.0
Skechers Ultra Flex 2.0 - Cryptic,men's shoes,5.0,5990.0,5999.0
Nike Mens Court Vision Lo Running,men's shoes,5.0,6290.0,6295.0
Skechers MAX Cushioning Elite-Promised,men's shoes,5.0,6990.0,6999.0
ASICS Mens Gel-Pulse 14 Running Shoe,men's shoes,5.0,7995.0,7999.0
Nike AIR Zoom Rival Fly 3 Men's Running Shoes,men's shoes,5.0,8190.0,8195.0
Nike Mens Jordan Stay Loyal 2 Mens Shoes Running Shoe,men's shoes,5.0,10290.0,10295.0
Hidesign Women Tote (Black),accessories,5.0,11794.0,11795.0
Nike AIR Zoom Terra Kiger 8,men's shoes,5.0,12990.0,12995.0
PC Jeweller The R Alphabet 18KT Yellow Gold and Diamond Pendant for Women,accessories,5.0,12999.0,13000.0
Altra Footwear mens Escalante Racer,men's shoes,5.0,16149.0,16179.0
Guess Analog Women Watch-GW0254L3,accessories,5.0,16890.0,16900.0
Bangalore Refinery 5.2 Gm Round Lakshmi 24k (999) Yellow Gold Pendant,accessories,5.0,34882.0,35000.0
"Bangalore Refinery 10 gm, 24k (999) Yellow Gold Coin",accessories,5.0,64749.0,65000.0
ASICS Court Break 2 Mens Running Shoes,men's shoes,4.9,4995.0,4999.0
Jockey Men's Cotton Trunks(Pack of 1) (8009-0110- Ink Blue Melange XXL_Ink Blue Melange_2XL),men's clothing,4.8,289.0,290.0
Aqualite Womens Lpt00601l Clog,men's shoes,4.8,693.0,699.0
Lavos Women Cotton Bikini Panty LW1002(Assorted Pack of 6)(Colors May Vary),women's clothing,4.8,1090.0,1098.0
Fenta Unisex Synthetic Cricket Shoes,men's shoes,4.8,1380.0,1388.0
Pepe Jeans Baby-Boy's Skinny Jeans,men's clothing,4.8,1698.0,1699.0
MMTC-PAMP Lord Balaji 999.9 Purity 20 gm Coloured Silver Coin,accessories,4.8,3499.0,3500.0
Nike Men's Orange Mesh Sneaker Revolution 5 EXT,men's shoes,4.8,3690.0,3695.0
Skechers Men's 400 Black/Blue Running Shoes-6 UK (39.5 EU) (7 US) (54350-BKBL),men's shoes,4.8,3690.0,3699.0
Nike Mens Court Legacy Nn Running Shoe,men's shoes,4.8,5690.0,5695.0
Titan Valentines Analog Rose Gold Dial Women's Watch-95103WL01F / 95103WL01F,accessories,4.8,8494.0,8495.0
GUESS Women's Mini Luxe White Dial Stainless Steel Analogue Watch - GW0112L1,accessories,4.8,10890.0,10900.0
Nike Air Max 95 Essential Triple Black Walking Shoes - 4.5 UK (38 EU) (7 US) (AT9865-001),men's shoes,4.8,13990.0,13995.0
Lowepro 25 ltrs (11 Cms) backpack(LP37177_black),accessories,4.8,18490.0,18500.0
CASSIEY Women White Textured Lace-Up Round Toe Lightweight Walking Sneaker Shoes for Women,women's shoes,4.7,990.0,999.0
Jockey Men's Modern Fit Vest (9922_Black_Large),men's clothing,4.7,1196.0,1206.0
Pepe Jeans Men's Slim Fit Casual Shirt,men's clothing,4.7,2498.0,2499.0
crocs Unisex Adult Classic Marbled Clog PuW/Mlt M4W6 Pure Water/Multi (206867-4SU),men's shoes,4.7,3294.0,3295.0
Pepe Jeans Men's Slim Jeans,men's clothing,4.7,3798.0,3799.0
Hidesign Women Tote (Black),accessories,4.7,8294.0,8295.0
Casio Analog White Dial Girl's Watch-BGA-220G-7ADR (BX060),accessories,4.7,8494.0,8495.0
Malabar Gold And Diamonds 24K (999) 3 Gms Yellow Gold Rose Coin Cum Pendant,accessories,4.7,20129.0,20329.0
Jockey Men's Cotton Brief (Pack of 2) #Style 8008_Black_L-90cm to 95cm,men's clothing,4.6,495.0,499.0
NYKD by Nykaa Cotton Low Waist Bikini Panty with Inner Elastic for Women (Combo Pack of 3) - NYP112,women's clothing,4.6,578.0,579.0
Opticalskart ᵀᴹ Sunglasses Combo with Jockey Women's Cotton Bikinis (Pack of 3) (Colors May Vary) XL,men's clothing,4.6,598.0,599.0
Jockey Men's Cotton Briefs (Pack of 6) (8035-6-M_Multi-Colour_M),men's clothing,4.6,993.0,996.0
Cherokee Men's Checkered Slim fit Casual Shirt (281516256_Khaki_S_FS,men's clothing,4.6,998.0,999.0
Jockey Men White Round Neck Sleeveless Plain/Solid Undershirt/Vest - Pack of 1 (8824-White),men's clothing,4.6,1047.0,1057.0
Jockey Men's Cotton Briefs (Pack of 6) (8035-6-XXL_Multi-Colour_2XL),men's clothing,4.6,1115.0,1116.0
Pepe Polyester Cotton Solid Regular Fit Mens T-Shirt,men's clothing,4.6,1498.0,1499.0
cpap The Headgear For Dreamwear Nasal Or Dreamwear Gel,accessories,4.6,1579.0,1580.0
TSF 96712 BRN Casual Shoes,men's shoes,4.6,1690.0,1699.0
"TSF Leather Boot, Extra Lightweight Extra Comfort",men's shoes,4.6,2040.0,2049.0
Pepe Jeans Men's Slim fit Casual Shirt,men's clothing,4.6,2198.0,2199.0
crocs Women's Pure Water/multi Kadee Ii Dream Flip W Puw/mlt W8 - 6uk,women's shoes,4.6,2494.0,2495.0
Pepe Jeans Men's Regular Fit Shirt,men's clothing,4.6,2598.0,2599.0
TSF Shield-05 Boot for Men,men's shoes,4.6,2590.0,2599.0
Hidesign Women Wallet (Black),accessories,4.6,2994.0,2995.0
Hidesign Women Wallet (Red),accessories,4.6,3594.0,3595.0
Skechers- Track-Ripkent,men's shoes,4.6,4990.0,4999.0
Skechers Men's Equalizer 4.0 Voltis Loafer,men's shoes,4.6,4990.0,4999.0
Nine West Rose Goldtone and Grey Strap Watch,accessories,4.6,5108.0,5128.0
Nike Venture Runner Mens Running Shoes,men's shoes,4.6,5490.0,5495.0
ASICS Mens Japan S Track and Field Shoe,men's shoes,4.6,5995.0,5999.0
Skechers Go Walk Mens Go Walk 5 216038,men's shoes,4.6,5990.0,5999.0
Nike Unisex-Adult Renew Elevate Ii Three Quarter HIGH,men's shoes,4.6,6790.0,6795.0
Hidesign Women's Sling Bag (Brown),accessories,4.6,6995.0,6996.0
MMTC-PAMP 999.9 24k Goddess Lakshmi 1 gm Yellow Gold Coin,accessories,4.6,6980.0,7000.0
