"id","name","main_category","sub_category","ratings","no_of_ratings"
6580,Gildan Men's White Crew T-Shirt Multipack,men's clothing,Innerwear,4.6,219589
18430,Amazon Pay eGift Card,accessories,Bags & Luggage,4.6,182448
